ID,Exp. Mass,%,Hit,Hit Score,# Perms,Theo. Mass,Da,ppm,Hex,HexNAc,Fuc,Oxidation,OffBy+1,OffBy-1,Perm,Perm Score,N13,N30,O115-122,O123-133,O134-145
62-1-7,19120.8172,22.9,14,0.00,1,19120.9380,-0.1207,-6,10,9,1,1,1,0,0,0.00,A2G1,A3G3F,unmodified,unmodified,unmodified
62-0-1,19120.8172,22.9,15,0.00,1,19120.9380,-0.1207,-6,9,9,2,2,1,0,0,0.00,A2G0F,A3G3F,unmodified,unmodified,unmodified
62-2-6,19120.8172,22.9,16,0.00,1,19120.9380,-0.1207,-6,11,9,0,0,1,0,0,0.00,A3G3,A2G2,unmodified,unmodified,unmodified
62-2-7,19120.8172,22.9,17,0.00,1,19120.9380,-0.1207,-6,11,9,0,0,1,0,0,0.00,A3G3+LacN1,A1G1,unmodified,unmodified,unmodified
63-0-0,19128.8263,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64-0-0,19135.8151,0.2,0,93.37,6,19135.9329,-0.1178,-6,10,9,1,2,0,0,0,70.68,unmodified,A2G2F,2 x Core,2 x Core,1 x Core
64-0-1,19135.8151,0.2,1,6.21,6,19135.9329,-0.1178,-6,10,9,1,2,0,0,0,4.76,unmodified,A3G3F,1 x Core,2 x Core,1 x Core
64-0-2,19135.8151,0.2,2,0.26,6,19135.9329,-0.1178,-6,10,9,1,2,0,0,0,0.14,unmodified,A3G3F,unmodified,2 x Core,2 x Core
64-0-3,19135.8151,0.2,3,0.06,3,19135.9329,-0.1178,-6,10,9,1,2,0,0,0,0.05,A2G1,A2G2F,unmodified,unmodified,1 x Core
64-0-4,19135.8151,0.2,4,0.03,6,19135.9329,-0.1178,-6,10,9,1,2,0,0,0,0.02,A3G3F+LacN1,unmodified,unmodified,2 x Core,1 x Core
64-0-5,19135.8151,0.2,5,0.03,1,19135.9329,-0.1178,-6,10,9,1,2,0,0,0,0.03,A3G3F+LacN1,unmodified,1 x Core,1 x Core,1 x Core
64-1-0,19135.8151,0.2,6,0.02,6,19135.9329,-0.1178,-6,11,9,0,1,0,0,0,0.01,A2G2,A1G1,unmodified,1 x Core,1 x Core
64-1-1,19135.8151,0.2,7,0.00,3,19135.9329,-0.1178,-6,11,9,0,1,0,0,0,0.00,A2G2,A2G2,unmodified,unmodified,1 x Core
64-1-2,19135.8151,0.2,8,0.00,6,19135.9329,-0.1178,-6,11,9,0,1,0,0,0,0.00,A1G1,A1G1,unmodified,2 x Core,1 x Core
64-1-3,19135.8151,0.2,9,0.00,1,19135.9329,-0.1178,-6,11,9,0,1,0,0,0,0.00,A1G1,A1G1,1 x Core,1 x Core,1 x Core
64-1-4,19135.8151,0.2,10,0.00,6,19135.9329,-0.1178,-6,11,9,0,1,0,0,0,0.00,A2G2,A1G1,unmodified,2 x Core,unmodified
64-0-6,19135.8151,0.2,11,0.00,1,19135.9329,-0.1178,-6,10,9,1,2,0,0,0,0.00,A1G1F,unmodified,2 x Core,2 x Core,2 x Core
64-1-5,19135.8151,0.2,12,0.00,3,19135.9329,-0.1178,-6,11,9,0,1,0,0,0,0.00,A3G3,A1G1,unmodified,unmodified,1 x Core
64-0-7,19135.8151,0.2,13,0.00,1,19135.9329,-0.1178,-6,10,9,1,2,0,0,0,0.00,A2G1,A3G3F,unmodified,unmodified,unmodified
64-1-6,19135.8151,0.2,14,0.00,1,19135.9329,-0.1178,-6,11,9,0,1,0,0,0,0.00,A3G3,A2G2,unmodified,unmodified,unmodified
64-1-7,19135.8151,0.2,15,0.00,1,19135.9329,-0.1178,-6,11,9,0,1,0,0,0,0.00,A3G3+LacN1,A1G1,unmodified,unmodified,unmodified
65-0-0,19137.9013,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66-0-0,19148.8213,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67-0-0,19149.8330,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68-0-0,19150.8434,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69-0-0,19156.8765,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-0-0,19157.7713,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71-0-0,19159.7801,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72-0-0,19165.8773,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73-0-0,19168.8389,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74-0-0,19174.8145,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-0-0,19182.8243,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76-0-0,19182.8887,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77-1-0,19184.8094,0.6,0,99.91,3,19184.9428,-0.1333,-7,13,7,1,0,1,0,0,76.45,M7,A2G2F,unmodified,unmodified,1 x Core
77-1-1,19184.8094,0.6,1,0.09,1,19184.9428,-0.1333,-7,13,7,1,0,1,0,0,0.09,M7,A3G3F,unmodified,unmodified,unmodified
78-0-0,19191.8099,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79-0-0,19194.8248,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-1-0,19200.9086,0.4,0,63.71,3,19200.9377,-0.0291,-2,13,7,1,1,1,0,0,48.75,M7,A2G2F,unmodified,unmodified,1 x Core
80-2-0,19200.9086,0.4,1,33.83,3,19200.9377,-0.0291,-2,14,7,0,0,1,0,0,17.99,M6,M5-A1G1,unmodified,1 x Core,1 x Core
80-2-1,19200.9086,0.4,2,2.41,3,19200.9377,-0.0291,-2,14,7,0,0,1,0,0,1.78,M6,M5-A1G1,unmodified,2 x Core,unmodified
80-1-1,19200.9086,0.4,3,0.06,1,19200.9377,-0.0291,-2,13,7,1,1,1,0,0,0.06,M7,A3G3F,unmodified,unmodified,unmodified
81-0-0,19202.7815,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82-0-0,19207.7890,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83-0-0,19212.8015,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84-0-0,19218.6970,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85-0-0,19235.8193,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86-0-0,19243.8148,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87-0-0,19252.8665,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88-0-0,19254.9585,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89-0-0,19263.8504,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90-0-0,19272.8142,0.5,0,30.59,1,19272.9541,-0.1398,-7,13,8,0,2,0,0,0,30.59,M7,unmodified,2 x Core,2 x Core,2 x Core
90-0-1,19272.8142,0.5,1,28.87,6,19272.9541,-0.1398,-7,13,8,0,2,0,0,0,21.33,M6,A1G1,unmodified,2 x Core,1 x Core
90-0-2,19272.8142,0.5,2,28.39,1,19272.9541,-0.1398,-7,13,8,0,2,0,0,0,28.39,M6,A1G1,1 x Core,1 x Core,1 x Core
90-0-3,19272.8142,0.5,3,11.33,3,19272.9541,-0.1398,-7,13,8,0,2,0,0,0,6.03,M6,A2G2,unmodified,1 x Core,1 x Core
90-0-4,19272.8142,0.5,4,0.81,3,19272.9541,-0.1398,-7,13,8,0,2,0,0,0,0.60,M6,A2G2,unmodified,2 x Core,unmodified
91-1-0,19281.8550,1.3,0,69.19,6,19281.9908,-0.1357,-7,11,9,1,1,0,0,0,52.84,A2G2,A2G2F,unmodified,unmodified,1 x Core
91-1-1,19281.8550,1.3,1,22.96,6,19281.9908,-0.1357,-7,11,9,1,1,0,0,0,11.63,A1G1,A2G2F,unmodified,1 x Core,1 x Core
91-2-0,19281.8550,1.3,2,5.67,2,19281.9908,-0.1357,-7,12,9,0,0,0,0,0,3.92,unmodified,M5-A1G1,2 x Core,2 x Core,2 x Core
91-1-2,19281.8550,1.3,3,1.63,6,19281.9908,-0.1357,-7,11,9,1,1,0,0,0,1.15,A1G1,A2G2F,unmodified,2 x Core,unmodified
91-2-1,19281.8550,1.3,4,0.22,3,19281.9908,-0.1357,-7,12,9,0,0,0,0,0,0.12,A2G1,M5-A1G1,unmodified,1 x Core,1 x Core
91-1-3,19281.8550,1.3,5,0.11,6,19281.9908,-0.1357,-7,11,9,1,1,0,0,0,0.08,A1G1,A3G3F,unmodified,unmodified,1 x Core
91-1-4,19281.8550,1.3,6,0.09,1,19281.9908,-0.1357,-7,11,9,1,1,0,0,0,0.09,A3G3,A2G2F,unmodified,unmodified,unmodified
91-1-5,19281.8550,1.3,7,0.06,2,19281.9908,-0.1357,-7,11,9,1,1,0,0,0,0.06,A2G2,A3G3F,unmodified,unmodified,unmodified
91-1-6,19281.8550,1.3,8,0.02,3,19281.9908,-0.1357,-7,11,9,1,1,0,0,0,0.01,A2G0F,M5-A1G1,unmodified,1 x Core,1 x Core
91-2-2,19281.8550,1.3,9,0.02,3,19281.9908,-0.1357,-7,12,9,0,0,0,0,0,0.01,A2G1,M5-A1G1,unmodified,2 x Core,unmodified
91-1-7,19281.8550,1.3,10,0.01,6,19281.9908,-0.1357,-7,11,9,1,1,0,0,0,0.01,A1G1F,A1G1,unmodified,2 x Core,1 x Core
91-1-8,19281.8550,1.3,11,0.01,1,19281.9908,-0.1357,-7,11,9,1,1,0,0,0,0.01,A1G1F,A1G1,1 x Core,1 x Core,1 x Core
91-1-9,19281.8550,1.3,12,0.00,3,19281.9908,-0.1357,-7,11,9,1,1,0,0,0,0.00,A1G1F,A2G2,unmodified,1 x Core,1 x Core
91-1-10,19281.8550,1.3,13,0.00,3,19281.9908,-0.1357,-7,11,9,1,1,0,0,0,0.00,A2G0F,M5-A1G1,unmodified,2 x Core,unmodified
91-1-11,19281.8550,1.3,14,0.00,3,19281.9908,-0.1357,-7,11,9,1,1,0,0,0,0.00,A1G1F,A2G2,unmodified,2 x Core,unmodified
91-1-12,19281.8550,1.3,15,0.00,1,19281.9908,-0.1357,-7,11,9,1,1,0,0,0,0.00,A3G3F+LacN1,A1G1,unmodified,unmodified,unmodified
92-0-0,19290.8375,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93-0-0,19300.8440,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94-0-0,19304.8356,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95-0-0,19310.0567,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96-0-0,19314.8187,0.3,0,95.94,2,19314.9806,-0.1620,-8,12,9,0,2,1,0,0,66.33,unmodified,M5-A1G1,2 x Core,2 x Core,2 x Core
96-0-1,19314.8187,0.3,1,3.79,3,19314.9806,-0.1620,-8,12,9,0,2,1,0,0,2.01,A2G1,M5-A1G1,unmodified,1 x Core,1 x Core
96-0-2,19314.8187,0.3,2,0.27,3,19314.9806,-0.1620,-8,12,9,0,2,1,0,0,0.20,A2G1,M5-A1G1,unmodified,2 x Core,unmodified
97-0-0,19329.9019,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98-0-0,19332.8809,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99-0-0,19340.8382,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100-0-0,19343.8427,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101-0-0,19346.8489,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102-0-0,19351.8630,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103-0-0,19357.8521,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104-2-0,19362.0741,0.2,0,93.36,3,19361.9905,0.0835,4,15,7,0,0,0,0,0,49.66,M7,M5-A1G1,unmodified,1 x Core,1 x Core
104-2-1,19362.0741,0.2,1,6.64,3,19361.9905,0.0835,4,15,7,0,0,0,0,0,4.90,M7,M5-A1G1,unmodified,2 x Core,unmodified
105-2-0,19362.8678,0.2,0,93.36,3,19362.9905,-0.1227,-6,15,7,0,0,1,0,0,49.66,M7,M5-A1G1,unmodified,1 x Core,1 x Core
105-2-1,19362.8678,0.2,1,6.64,3,19362.9905,-0.1227,-6,15,7,0,0,1,0,0,4.90,M7,M5-A1G1,unmodified,2 x Core,unmodified
106-0-0,19367.8244,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107-1-0,19378.8552,0.4,0,93.36,3,19378.9854,-0.1302,-7,15,7,0,1,1,0,0,49.66,M7,M5-A1G1,unmodified,1 x Core,1 x Core
107-1-1,19378.8552,0.4,1,6.64,3,19378.9854,-0.1302,-7,15,7,0,1,1,0,0,4.90,M7,M5-A1G1,unmodified,2 x Core,unmodified
108-0-0,19389.8718,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109-0-0,19394.8837,0.3,0,93.36,3,19394.9803,-0.0967,-5,15,7,0,2,1,0,0,49.66,M7,M5-A1G1,unmodified,1 x Core,1 x Core
109-0-1,19394.8837,0.3,1,6.64,3,19394.9803,-0.0967,-5,15,7,0,2,1,0,0,4.90,M7,M5-A1G1,unmodified,2 x Core,unmodified
110-0-0,19397.9429,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111-0-0,19405.0250,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112-0-0,19412.9502,0.1,0,96.86,3,19413.0538,-0.1036,-5,11,9,2,0,1,0,0,74.11,A2G2F,A2G2F,unmodified,unmodified,1 x Core
112-0-1,19412.9502,0.1,1,2.70,3,19413.0538,-0.1036,-5,11,9,2,0,1,0,0,1.44,A1G1F,A2G2F,unmodified,1 x Core,1 x Core
112-0-2,19412.9502,0.1,2,0.23,2,19413.0538,-0.1036,-5,11,9,2,0,1,0,0,0.14,A3G3F,A2G2F,unmodified,unmodified,unmodified
112-0-3,19412.9502,0.1,3,0.19,3,19413.0538,-0.1036,-5,11,9,2,0,1,0,0,0.14,A1G1F,A2G2F,unmodified,2 x Core,unmodified
112-0-4,19412.9502,0.1,4,0.01,3,19413.0538,-0.1036,-5,11,9,2,0,1,0,0,0.01,A1G1F,A3G3F,unmodified,unmodified,1 x Core
113-0-0,19413.0206,0.4,0,96.86,3,19413.0538,-0.0331,-2,11,9,2,0,1,0,0,74.11,A2G2F,A2G2F,unmodified,unmodified,1 x Core
113-0-1,19413.0206,0.4,1,2.70,3,19413.0538,-0.0331,-2,11,9,2,0,1,0,0,1.44,A1G1F,A2G2F,unmodified,1 x Core,1 x Core
113-0-2,19413.0206,0.4,2,0.23,2,19413.0538,-0.0331,-2,11,9,2,0,1,0,0,0.14,A3G3F,A2G2F,unmodified,unmodified,unmodified
113-0-3,19413.0206,0.4,3,0.19,3,19413.0538,-0.0331,-2,11,9,2,0,1,0,0,0.14,A1G1F,A2G2F,unmodified,2 x Core,unmodified
113-0-4,19413.0206,0.4,4,0.01,3,19413.0538,-0.0331,-2,11,9,2,0,1,0,0,0.01,A1G1F,A3G3F,unmodified,unmodified,1 x Core
114-0-0,19424.9787,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115-0-0,19432.8833,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116-0-0,19441.8648,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117-0-0,19442.0273,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118-0-0,19444.9505,0.1,0,85.50,3,19445.0436,-0.0931,-5,11,9,2,2,1,0,0,65.42,A2G2F,A2G2F,unmodified,unmodified,1 x Core
118-2-0,19444.9505,0.1,1,6.63,6,19445.0436,-0.0931,-5,13,9,0,0,1,0,0,3.46,A2G2,M5-A1G1,unmodified,1 x Core,1 x Core
118-0-1,19444.9505,0.1,2,2.39,3,19445.0436,-0.0931,-5,11,9,2,2,1,0,0,1.27,A1G1F,A2G2F,unmodified,1 x Core,1 x Core
118-2-1,19444.9505,0.1,3,1.89,3,19445.0436,-0.0931,-5,13,9,0,0,1,0,0,1.55,M5,A1G1,1 x Core,2 x Core,1 x Core
118-2-2,19444.9505,0.1,4,0.87,12,19445.0436,-0.0931,-5,13,9,0,0,1,0,0,0.43,A1G1,M5-A1G1,unmodified,2 x Core,1 x Core
118-2-3,19444.9505,0.1,5,0.86,2,19445.0436,-0.0931,-5,13,9,0,0,1,0,0,0.57,A1G1,M5-A1G1,1 x Core,1 x Core,1 x Core
118-2-4,19444.9505,0.1,6,0.47,6,19445.0436,-0.0931,-5,13,9,0,0,1,0,0,0.34,A2G2,M5-A1G1,unmodified,2 x Core,unmodified
118-2-5,19444.9505,0.1,7,0.45,6,19445.0436,-0.0931,-5,13,9,0,0,1,0,0,0.33,M5,A2G2,unmodified,2 x Core,1 x Core
118-2-6,19444.9505,0.1,8,0.44,1,19445.0436,-0.0931,-5,13,9,0,0,1,0,0,0.44,M5,A2G2,1 x Core,1 x Core,1 x Core
118-0-2,19444.9505,0.1,9,0.20,2,19445.0436,-0.0931,-5,11,9,2,2,1,0,0,0.13,A3G3F,A2G2F,unmodified,unmodified,unmodified
118-0-3,19444.9505,0.1,10,0.17,3,19445.0436,-0.0931,-5,11,9,2,2,1,0,0,0.13,A1G1F,A2G2F,unmodified,2 x Core,unmodified
118-2-7,19444.9505,0.1,11,0.08,3,19445.0436,-0.0931,-5,13,9,0,0,1,0,0,0.05,M5,A1G1,unmodified,2 x Core,2 x Core
118-2-8,19444.9505,0.1,12,0.05,3,19445.0436,-0.0931,-5,13,9,0,0,1,0,0,0.03,A3G3,M5-A1G1,unmodified,unmodified,1 x Core
118-0-4,19444.9505,0.1,13,0.01,3,19445.0436,-0.0931,-5,11,9,2,2,1,0,0,0.01,A1G1F,A3G3F,unmodified,unmodified,1 x Core
118-2-9,19444.9505,0.1,14,0.00,1,19445.0436,-0.0931,-5,13,9,0,0,1,0,0,0.00,A3G3+LacN1,M5-A1G1,unmodified,unmodified,unmodified
119-0-0,19449.9334,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120-0-0,19452.9169,0.3,0,92.96,3,19453.0803,-0.1634,-8,10,10,2,0,0,0,0,49.45,A2G0F,A2G2F,unmodified,1 x Core,1 x Core
120-0-1,19452.9169,0.3,1,6.61,3,19453.0803,-0.1634,-8,10,10,2,0,0,0,0,4.88,A2G0F,A2G2F,unmodified,2 x Core,unmodified
120-0-2,19452.9169,0.3,2,0.43,3,19453.0803,-0.1634,-8,10,10,2,0,0,0,0,0.33,A2G0F,A3G3F,unmodified,unmodified,1 x Core
121-0-0,19453.9401,0.3,0,92.96,3,19454.0803,-0.1402,-7,10,10,2,0,1,0,0,49.45,A2G0F,A2G2F,unmodified,1 x Core,1 x Core
121-0-1,19453.9401,0.3,1,6.61,3,19454.0803,-0.1402,-7,10,10,2,0,1,0,0,4.88,A2G0F,A2G2F,unmodified,2 x Core,unmodified
121-0-2,19453.9401,0.3,2,0.43,3,19454.0803,-0.1402,-7,10,10,2,0,1,0,0,0.33,A2G0F,A3G3F,unmodified,unmodified,1 x Core
122-0-0,19453.9963,0.5,0,92.96,3,19454.0803,-0.0841,-4,10,10,2,0,1,0,0,49.45,A2G0F,A2G2F,unmodified,1 x Core,1 x Core
122-0-1,19453.9963,0.5,1,6.61,3,19454.0803,-0.0841,-4,10,10,2,0,1,0,0,4.88,A2G0F,A2G2F,unmodified,2 x Core,unmodified
122-0-2,19453.9963,0.5,2,0.43,3,19454.0803,-0.0841,-4,10,10,2,0,1,0,0,0.33,A2G0F,A3G3F,unmodified,unmodified,1 x Core
123-0-0,19457.9898,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124-1-0,19469.9604,49.3,0,68.16,2,19470.0752,-0.1149,-6,11,10,1,0,1,0,0,65.24,unmodified,A2G2F,2 x Core,2 x Core,2 x Core
124-1-1,19469.9604,49.3,1,26.50,6,19470.0752,-0.1149,-6,11,10,1,0,1,0,0,19.49,unmodified,A3G3F,2 x Core,2 x Core,1 x Core
124-1-2,19469.9604,49.3,2,3.72,3,19470.0752,-0.1149,-6,11,10,1,0,1,0,0,1.98,A2G1,A2G2F,unmodified,1 x Core,1 x Core
124-1-3,19469.9604,49.3,3,0.91,3,19470.0752,-0.1149,-6,11,10,1,0,1,0,0,0.75,A3G3F+LacN1,unmodified,1 x Core,2 x Core,1 x Core
124-0-0,19469.9604,49.3,4,0.37,3,19470.0752,-0.1149,-6,10,10,2,1,1,0,0,0.19,A2G0F,A2G2F,unmodified,1 x Core,1 x Core
124-1-4,19469.9604,49.3,5,0.26,3,19470.0752,-0.1149,-6,11,10,1,0,1,0,0,0.20,A2G1,A2G2F,unmodified,2 x Core,unmodified
124-1-5,19469.9604,49.3,6,0.04,3,19470.0752,-0.1149,-6,11,10,1,0,1,0,0,0.02,A3G3F+LacN1,unmodified,unmodified,2 x Core,2 x Core
124-0-1,19469.9604,49.3,7,0.03,3,19470.0752,-0.1149,-6,10,10,2,1,1,0,0,0.02,A2G0F,A2G2F,unmodified,2 x Core,unmodified
124-1-6,19469.9604,49.3,8,0.02,3,19470.0752,-0.1149,-6,11,10,1,0,1,0,0,0.01,A2G1,A3G3F,unmodified,unmodified,1 x Core
124-0-2,19469.9604,49.3,9,0.00,3,19470.0752,-0.1149,-6,10,10,2,1,1,0,0,0.00,A2G0F,A3G3F,unmodified,unmodified,1 x Core
125-0-0,19483.9459,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126-1-0,19485.9512,11.8,0,67.45,2,19486.0702,-0.1189,-6,11,10,1,1,1,0,0,64.56,unmodified,A2G2F,2 x Core,2 x Core,2 x Core
126-1-1,19485.9512,11.8,1,26.23,6,19486.0702,-0.1189,-6,11,10,1,1,1,0,0,19.29,unmodified,A3G3F,2 x Core,2 x Core,1 x Core
126-1-2,19485.9512,11.8,2,3.69,3,19486.0702,-0.1189,-6,11,10,1,1,1,0,0,1.96,A2G1,A2G2F,unmodified,1 x Core,1 x Core
126-1-3,19485.9512,11.8,3,0.90,3,19486.0702,-0.1189,-6,11,10,1,1,1,0,0,0.74,A3G3F+LacN1,unmodified,1 x Core,2 x Core,1 x Core
126-2-0,19485.9512,11.8,4,0.40,12,19486.0702,-0.1189,-6,12,10,0,0,1,0,0,0.29,A2G2,A1G1,unmodified,2 x Core,1 x Core
126-2-1,19485.9512,11.8,5,0.40,2,19486.0702,-0.1189,-6,12,10,0,0,1,0,0,0.38,A2G2,A1G1,1 x Core,1 x Core,1 x Core
126-0-0,19485.9512,11.8,6,0.36,3,19486.0702,-0.1189,-6,10,10,2,2,1,0,0,0.19,A2G0F,A2G2F,unmodified,1 x Core,1 x Core
126-1-4,19485.9512,11.8,7,0.26,3,19486.0702,-0.1189,-6,11,10,1,1,1,0,0,0.19,A2G1,A2G2F,unmodified,2 x Core,unmodified
126-2-2,19485.9512,11.8,8,0.15,3,19486.0702,-0.1189,-6,12,10,0,0,1,0,0,0.08,A2G2,A2G2,unmodified,1 x Core,1 x Core
126-2-3,19485.9512,11.8,9,0.06,3,19486.0702,-0.1189,-6,12,10,0,0,1,0,0,0.05,A1G1,A1G1,1 x Core,2 x Core,1 x Core
126-1-5,19485.9512,11.8,10,0.04,3,19486.0702,-0.1189,-6,11,10,1,1,1,0,0,0.02,A3G3F+LacN1,unmodified,unmodified,2 x Core,2 x Core
126-0-1,19485.9512,11.8,11,0.03,3,19486.0702,-0.1189,-6,10,10,2,2,1,0,0,0.02,A2G0F,A2G2F,unmodified,2 x Core,unmodified
126-1-6,19485.9512,11.8,12,0.02,3,19486.0702,-0.1189,-6,11,10,1,1,1,0,0,0.01,A2G1,A3G3F,unmodified,unmodified,1 x Core
126-2-4,19485.9512,11.8,13,0.01,3,19486.0702,-0.1189,-6,12,10,0,0,1,0,0,0.01,A2G2,A2G2,unmodified,2 x Core,unmodified
126-2-5,19485.9512,11.8,14,0.01,3,19486.0702,-0.1189,-6,12,10,0,0,1,0,0,0.01,A3G3,A1G1,unmodified,1 x Core,1 x Core
126-2-6,19485.9512,11.8,15,0.00,3,19486.0702,-0.1189,-6,12,10,0,0,1,0,0,0.00,A1G1,A1G1,unmodified,2 x Core,2 x Core
126-0-2,19485.9512,11.8,16,0.00,3,19486.0702,-0.1189,-6,10,10,2,2,1,0,0,0.00,A2G0F,A3G3F,unmodified,unmodified,1 x Core
126-2-7,19485.9512,11.8,17,0.00,3,19486.0702,-0.1189,-6,12,10,0,0,1,0,0,0.00,A3G3,A2G2,unmodified,unmodified,1 x Core
126-2-8,19485.9512,11.8,18,0.00,3,19486.0702,-0.1189,-6,12,10,0,0,1,0,0,0.00,A3G3,A1G1,unmodified,2 x Core,unmodified
126-2-9,19485.9512,11.8,19,0.00,3,19486.0702,-0.1189,-6,12,10,0,0,1,0,0,0.00,A3G3+LacN1,A1G1,unmodified,unmodified,1 x Core
126-2-10,19485.9512,11.8,20,0.00,1,19486.0702,-0.1189,-6,12,10,0,0,1,0,0,0.00,A3G3+LacN1,A2G2,unmodified,unmodified,unmodified
