ID,Exp. Mass,%,Hit,Hit Score,# Perms,Theo. Mass,Da,ppm,Hex,HexNAc,Fuc,Oxidation,OffBy+1,OffBy-1,Perm,Perm Score,N52,N78
162-1-0,13595.6966,2.1,0,99.55,2,13595.8050,-0.1084,-8,10,8,1,1,0,0,0,79.88,A2G2F,A2G2
162-1-1,13595.6966,2.1,1,0.41,2,13595.8050,-0.1084,-8,10,8,1,1,0,0,0,0.31,A1G1,A3G3F
162-0-0,13595.6966,2.1,2,0.04,1,13595.8050,-0.1084,-8,9,8,2,2,0,0,0,0.04,A2G2F2,A2G1
163-0-0,13606.6487,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164-0-0,13607.7247,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165-0-0,13615.6920,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166-0-0,13627.7079,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167-0-0,13628.7465,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168-0-0,13633.7076,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169-0-0,13641.6912,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170-1-0,13643.7691,0.0,0,100.00,1,13643.8149,-0.0458,-3,12,6,2,0,0,0,0,100.00,A2G2F2,M7
171-0-0,13651.7321,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172-0-0,13661.6932,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173-0-0,13669.7123,0.0,0,100.00,2,13669.8214,-0.1091,-8,10,9,0,2,1,0,0,90.37,A2G1,A3G3
174-0-0,13673.7124,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175-0-0,13675.7237,0.0,0,100.00,1,13675.8048,-0.0811,-6,12,6,2,2,0,0,0,100.00,A2G2F2,M7
176-0-0,13680.6821,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177-0-0,13683.7133,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178-0-0,13693.6922,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179-0-0,13702.7187,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180-0-0,13703.6858,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181-0-0,13711.6959,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182-0-0,13719.7270,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183-0-0,13719.7506,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184-1-0,13726.7587,0.2,0,77.18,1,13726.8680,-0.1093,-8,10,8,2,0,1,0,0,77.18,A2G2F2,A2G2
184-1-1,13726.7587,0.2,1,22.82,1,13726.8680,-0.1093,-8,10,8,2,0,1,0,0,22.82,A2G2F,A2G2F
185-0-0,13734.7506,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186-0-0,13740.7436,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187-1-0,13741.7777,0.6,0,77.18,1,13741.8629,-0.0853,-6,10,8,2,1,0,0,0,77.18,A2G2F2,A2G2
187-1-1,13741.7777,0.6,1,22.82,1,13741.8629,-0.0853,-6,10,8,2,1,0,0,0,22.82,A2G2F,A2G2F
188-0-0,13755.7546,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189-0-0,13756.7744,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190-0-0,13765.7327,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191-0-0,13769.7563,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192-0-0,13775.7377,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193-0-0,13778.7544,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194-0-0,13782.8152,0.1,0,99.49,2,13782.8895,-0.0743,-5,10,9,1,0,0,0,0,60.66,A2G1,A3G3F
194-2-0,13782.8152,0.1,1,0.51,1,13782.8895,-0.0743,-5,9,9,2,1,0,0,0,0.51,A2G0F,A3G3F
195-0-0,13784.7653,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196-2-0,13799.7908,22.5,0,99.86,2,13799.8844,-0.0936,-7,11,9,0,0,1,0,0,78.33,A2G2,A3G3
196-1-0,13799.7908,22.5,1,0.08,2,13799.8844,-0.0936,-7,10,9,1,1,1,0,0,0.05,A2G1,A3G3F
196-2-1,13799.7908,22.5,2,0.06,1,13799.8844,-0.0936,-7,11,9,0,0,1,0,0,0.06,A1G1,A3G3+LacN1 or A4G4
196-0-0,13799.7908,22.5,3,0.00,1,13799.8844,-0.0936,-7,9,9,2,2,1,0,0,0.00,A2G0F,A3G3F
197-1-0,13814.7867,2.6,0,99.86,2,13814.8793,-0.0927,-7,11,9,0,1,0,0,0,78.33,A2G2,A3G3
197-0-0,13814.7867,2.6,1,0.08,2,13814.8793,-0.0927,-7,10,9,1,2,0,0,0,0.05,A2G1,A3G3F
197-1-1,13814.7867,2.6,2,0.06,1,13814.8793,-0.0927,-7,11,9,0,1,0,0,0,0.06,A1G1,A3G3+LacN1 or A4G4
198-0-0,13820.7786,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199-0-0,13821.7820,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200-0-0,13821.7911,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201-0-0,13826.8028,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202-0-0,13829.7886,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203-0-0,13831.8379,0.1,0,99.94,2,13831.8742,-0.0363,-3,11,9,0,2,1,0,0,78.39,A2G2,A3G3
203-0-1,13831.8379,0.1,1,0.06,1,13831.8742,-0.0363,-3,11,9,0,2,1,0,0,0.06,A1G1,A3G3+LacN1 or A4G4
204-0-0,13835.8077,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205-0-0,13840.7678,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206-0-0,13843.7651,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207-0-0,13843.7728,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208-0-0,13852.8228,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209-0-0,13861.7566,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210-2-0,13862.7577,0.3,0,100.00,2,13862.8892,-0.1315,-9,13,7,1,0,0,0,0,53.85,A3G3F,M7
211-0-0,13867.7749,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212-1-0,13872.7590,0.1,0,100.00,1,13872.9259,-0.1669,-12,10,8,3,0,1,0,0,100.00,A2G2F2,A2G2F
213-2-0,13879.7756,0.2,0,100.00,2,13879.8841,-0.1086,-8,13,7,1,1,1,0,0,53.85,A3G3F,M7
214-0-0,13886.7677,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215-0-0,13888.7767,0.0,0,100.00,1,13888.9208,-0.1442,-10,10,8,3,1,1,0,0,100.00,A2G2F2,A2G2F
216-0-0,13892.7841,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217-0-0,13895.7946,0.0,0,100.00,2,13895.8790,-0.0845,-6,13,7,1,2,1,0,0,53.85,A3G3F,M7
218-0-0,13900.8106,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219-2-0,13904.7811,0.0,0,81.52,2,13904.9158,-0.1347,-10,12,8,1,0,1,0,0,62.53,M5-A1G1,A3G3F
219-0-0,13904.7811,0.0,1,13.29,1,13904.9158,-0.1347,-10,10,8,3,2,1,0,0,13.29,A2G2F2,A2G2F
219-2-1,13904.7811,0.0,2,5.19,2,13904.9158,-0.1347,-10,12,8,1,0,1,0,0,4.35,M5,A3G3F+LacN1
220-0-0,13913.7401,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221-0-0,13923.7273,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222-0-0,13930.8321,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223-2-0,13945.8234,0.8,0,51.57,2,13945.9423,-0.1189,-9,11,9,1,0,1,0,0,32.12,A3G3F,A2G2
223-2-1,13945.8234,0.8,1,48.29,2,13945.9423,-0.1189,-9,11,9,1,0,1,0,0,45.22,A2G2F,A3G3
223-2-2,13945.8234,0.8,2,0.14,2,13945.9423,-0.1189,-9,11,9,1,0,1,0,0,0.10,A1G1,A3G3F+LacN1
224-1-0,13961.7971,0.3,0,51.57,2,13961.9372,-0.1401,-10,11,9,1,1,1,0,0,32.12,A3G3F,A2G2
224-1-1,13961.7971,0.3,1,48.29,2,13961.9372,-0.1401,-10,11,9,1,1,1,0,0,45.22,A2G2F,A3G3
224-1-2,13961.7971,0.3,2,0.14,2,13961.9372,-0.1401,-10,11,9,1,1,1,0,0,0.10,A1G1,A3G3F+LacN1
225-0-0,13972.8046,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226-0-0,13978.8878,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227-0-0,13979.8013,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228-0-0,13988.8226,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229-0-0,13997.7728,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230-0-0,14026.7838,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231-1-0,14090.8852,0.0,0,57.92,1,14091.0002,-0.1150,-8,11,9,2,0,0,0,0,57.92,A2G2F2,A3G3
231-1-1,14090.8852,0.0,1,42.08,2,14091.0002,-0.1150,-8,11,9,2,0,0,0,0,29.91,A2G2F,A3G3F
232-0-0,14105.7970,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233-0-0,14118.8677,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234-0-0,14145.8781,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235-0-0,14146.9235,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236-2-0,14164.9875,2.0,0,75.54,1,14165.0166,-0.0291,-2,12,10,0,0,1,0,0,75.54,A3G3,A3G3
236-2-1,14164.9875,2.0,1,24.28,1,14165.0166,-0.0291,-2,12,10,0,0,1,0,0,24.28,A2G2,A3G3+LacN1 or A4G4
236-1-0,14164.9875,2.0,2,0.18,2,14165.0166,-0.0291,-2,11,10,1,1,1,0,0,0.10,A2G1,A3G3F+LacN1
236-0-0,14164.9875,2.0,3,0.00,1,14165.0166,-0.0291,-2,10,10,2,2,1,0,0,0.00,A2G0F,A3G3F+LacN1
237-1-0,14179.9257,0.1,0,75.54,1,14180.0115,-0.0859,-6,12,10,0,1,0,0,0,75.54,A3G3,A3G3
237-1-1,14179.9257,0.1,1,24.28,1,14180.0115,-0.0859,-6,12,10,0,1,0,0,0,24.28,A2G2,A3G3+LacN1 or A4G4
237-0-0,14179.9257,0.1,2,0.18,2,14180.0115,-0.0859,-6,11,10,1,2,0,0,0,0.10,A2G1,A3G3F+LacN1
238-0-0,14183.9184,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239-0-0,14279.0878,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240-0-0,14308.9476,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241-2-0,14309.9824,0.2,0,48.92,2,14310.0745,-0.0921,-6,12,10,1,0,0,0,0,41.94,A3G3F,A3G3
241-2-1,14309.9824,0.2,1,45.86,2,14310.0745,-0.0921,-6,12,10,1,0,0,0,0,31.54,A3G3F+LacN1,A2G2
241-2-2,14309.9824,0.2,2,5.22,1,14310.0745,-0.0921,-6,12,10,1,0,0,0,0,5.22,A2G2F,A3G3+LacN1 or A4G4
242-0-0,14331.0615,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243-2-0,14528.9912,0.0,0,100.00,1,14529.1488,-0.1576,-11,13,11,0,0,0,0,0,100.00,A3G3,A3G3+LacN1 or A4G4
244-2-0,14529.8826,0.0,0,100.00,1,14530.1488,-0.2662,-18,13,11,0,0,1,0,0,100.00,A3G3,A3G3+LacN1 or A4G4
245-2-0,14530.0399,0.0,0,100.00,1,14530.1488,-0.1089,-7,13,11,0,0,1,0,0,100.00,A3G3,A3G3+LacN1 or A4G4
246-0-0,14635.6602,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247-1-0,14675.1029,0.1,0,90.54,2,14675.2067,-0.1038,-7,13,11,1,0,0,0,0,80.50,A3G3F+LacN1,A3G3
247-1-1,14675.1029,0.1,1,9.46,1,14675.2067,-0.1038,-7,13,11,1,0,0,0,0,9.46,A3G3F,A3G3+LacN1 or A4G4
248-0-0,14677.1190,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249-0-0,18610.8381,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250-0-0,18612.6273,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251-0-0,18738.7006,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252-0-0,18739.7058,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253-0-0,18959.7622,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254-0-0,18976.7948,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255-0-0,18994.7763,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256-0-0,19021.8700,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257-0-0,19086.7668,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258-0-0,19090.7762,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259-0-0,19104.8003,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260-0-0,19121.7962,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261-0-0,19121.8218,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262-0-0,19122.8153,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263-0-0,19136.7977,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264-0-0,19147.8923,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265-0-0,19149.8463,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266-0-0,19156.8804,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267-0-0,19158.8541,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268-0-0,19218.8316,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269-0-0,19219.8418,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270-0-0,19341.7841,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271-0-0,19343.9023,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272-0-0,19359.9214,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273-0-0,19363.8775,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274-0-0,19460.9569,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275-0-0,19467.9684,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276-0-0,19469.9046,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277-0-0,19632.0089,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278-0-0,20234.2034,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279-0-0,20234.2210,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280-0-0,20234.2249,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281-0-0,20379.3088,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282-0-0,20599.1691,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283-0-0,20617.3506,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284-0-0,20645.3462,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285-0-0,20712.3476,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286-0-0,20727.3737,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287-0-0,20728.4085,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288-0-0,20744.4167,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289-0-0,20744.5145,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290-0-0,20761.3784,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291-0-0,20858.4285,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292-0-0,20873.8227,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293-0-0,20964.4532,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294-0-0,20964.4607,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295-0-0,20982.4881,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296-0-0,21113.5712,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297-0-0,26868.2860,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298-0-0,26868.3028,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
